Sno,frequency,surprise,like,c1_familiarity,c2_familiarity
436,33,5,5,5,5
437,16,1,3,5,5
438,16,5,5,1,1
439,34,3,5,4,4
440,28,5,3,2,1
441,27,2,3,3,3
442,35,1,2,3,1
443,42,3,2,2,2
444,30,4,3,4,4
445,32,3,5,4,4
446,8,4,3,2,2
447,32,3,3,3,3
448,29,2,4,2,2
449,41,1,3,3,3
450,32,3,2,3,4
451,71,1,5,1,2
452,16,5,4,5,2
453,38,3,3,3,3
454,26,3,4,4,4
455,10,4,3,1,2
456,18,2,2,2,1
457,34,2,3,3,2
458,46,2,2,4,2
459,64,2,4,3,3
460,46,4,5,2,1
461,15,1,3,5,5
462,40,3,3,4,3
463,42,2,3,3,2
464,37,2,4,4,4
465,15,1,3,5,5
466,38,4,4,5,5
467,16,3,4,1,4
468,15,2,3,4,4
469,14,4,1,2,1
470,11,4,4,3,3
471,39,5,5,5,4
472,32,3,1,1,1
473,41,2,3,4,4
474,19,4,3,4,2
475,22,2,3,5,4
476,31,4,3,1,3
477,84,4,3,1,1
478,26,4,4,4,4
479,20,5,4,2,5
480,29,5,5,3,3
481,16,4,5,2,2
482,17,4,3,1,3
483,30,4,5,3,3
484,39,3,4,4,3
485,33,3,1,3,3
486,39,1,1,3,3
487,41,3,4,3,3
488,5,1,4,3,1
489,29,2,2,3,2
490,26,4,5,4,3
491,9,5,5,5,5
492,52,1,3,4,3
493,30,2,4,2,3
494,19,4,5,3,3
495,38,4,4,5,3.06234414
496,32,3,3,5,3.06234414
497,24,2,3,4,3.06234414
498,58,4,5,4,3.06234414
499,37,4,3,4,3.06234414
500,23,4,3,4,3.06234414
501,45,1,2,4,3.099750623
502,82,5,3,2,3.099750623
503,19,5,5,1,3.099750623
504,7,1,1,2,3.099750623
505,9,3,4,4,3.099750623
506,14,4,5,1,3.099750623
507,31,5,4,2,3.099750623
508,22,1,2,4,3.099750623
509,4,2,5,5,3.099750623
510,16,1,3,4,3.099750623
511,23,3,4,5,3.099750623
512,14,1,4,2,3.099750623
513,35,5,4,4,3.099750623
514,24,5,5,4,3.099750623
515,32,5,5,5,3.099750623
516,15,3,4,4,3.099750623
517,18,3,4,4,3.099750623
518,17,3,3,5,3.099750623
519,23,3,5,4,3.099750623
520,42,1,5,2,3.099750623
521,31,1,3,4,3.099750623
522,24,1,3,4,3.099750623
523,10,2,1,3,3.099750623
524,39,3,3,5,3.099750623
525,20,4,3,4,3.099750623
526,22,5,5,3,3.099750623
527,24,5,5,3,3.099750623
528,41,4,5,4,3.099750623
529,20,3,4,3,3.099750623
530,38,5,5,4,3.099750623
531,48,3,4,5,3.099750623
532,30,1,4,5,3.099750623
533,23,5,4,2,3.099750623
534,34,1,3,3,3.099750623
535,21,5,5,2,3.099750623
536,53,3,5,5,3.099750623
537,11,2,2,1,3.099750623
538,24,3,3,4,3.099750623
539,51,1,4,4,3.099750623
540,20,2,4,5,3.099750623
541,15,5,5,4,3.099750623
542,12,5,5,4,3.099750623
543,12,1,1,3,3.099750623
544,23,4,4,3,3.099750623
545,23,3,3,4,3.099750623
546,16,1,2,4,3.099750623
547,10,2,4,4,3.099750623
548,26,2,3,3,3.099750623
549,20,1,3,4,3.099750623
550,35,3,1,1,3.099750623
551,45,1,4,4,3.099750623
552,65,2,3,2,3.099750623
553,23,2,3,2,3.099750623
554,40,1,3,4,3.099750623
555,7,3,5,4,3.099750623
556,12,5,5,1,3.099750623
557,14,4,4,2,3.099750623
558,28,4,5,3,3.099750623
559,16,4,3,4,3.099750623
560,21,1,4,2,3.099750623
561,15,5,2,2,3.099750623
562,28,3,3,1,3.099750623
563,20,2,2,4,3.099750623
564,6,3,2,1,3.099750623
565,18,2,4,4,3.099750623
566,21,3,3,4,3.099750623
567,43,5,5,4,3.099750623
568,27,4,4,4,3.099750623
569,23,4,5,4,3.099750623
570,10,4,4,2,3.099750623
571,37,5,5,4,3.099750623
572,45,1,1,4,3.099750623
573,18,5,4,1,3.099750623
574,26,1,3,4,3.099750623
575,56,1,3,4,3.099750623
576,31,1,3,3,3.099750623
577,26,2,4,4,3.099750623
578,22,5,4,2,3.099750623
579,25,3,4,4,3.099750623
580,25,1,3,4,3.099750623
581,18,1,3,4,3.099750623
582,23,5,5,1,3.099750623
583,34,5,5,1,3.099750623
584,15,3,4,4,3.099750623
585,63,2,3,2,3.099750623
586,38,1,4,4,3.099750623
587,18,4,3,1,3.099750623
588,38,5,5,4,3.099750623
589,53,4,3,4,3.099750623
590,17,3,5,4,3.099750623
591,17,3,5,5,3.099750623
592,33,5,5,3,3.099750623
593,29,2,4,4,3.099750623
594,18,5,4,3,3
595,23,1,4,3,2
596,29,3,4,2,4
597,25,1,3,3,3
598,26,1,5,5,5
599,41,4,4,1,2
600,11,2,4,4,4
601,14,5,5,5,5
602,19,5,4,3,2
603,28,3,2,2,4
604,38,4,5,1,4
605,33,5,5,2,1
606,29,1,1,2,4
607,10,4,5,3,3
608,25,4,4,3,4
609,25,4,4,2,3
610,28,3,4,1,1
611,42,5,5,1,2
612,28,4,3,4,4
613,29,4,4,2,2
614,28,2,4,2,1
615,24,1,3,3,5
616,28,2,3,3,2
617,31,2,5,4,2
618,34,4,4,2,2
619,14,3,4,5,4
620,13,2,3,3,3
621,40,4,2,5,5
622,57,3,4,5,4
623,18,2,5,4,4
624,22,3,5,4,2
625,14,3,4,2,3
626,42,1,3,4,3
627,16,1,4,4,4
628,28,4,3,3,4
629,10,3,4,2,3
630,8,5,5,3,1
631,20,5,4,4,2
632,11,3,5,5,2
633,42,4,3,4,4
634,18,4,4,1,2
635,34,3,3,3,3
636,21,5,3,1,2
637,24,3,4,3,1
638,17,3,4,2,3
639,52,4,3,4,4
640,10,4,4,4,3
641,29,4,4,4,4
642,31,4,4,3,3
643,71,2,4,5,4
644,13,2,2,4,4
645,28,3,4,5,5
646,11,2,5,4,3
647,16,4,3,2,2
648,22,3,4,2,4
649,31,2,4,4,2
650,43,4,3,2,4
651,12,5,4,2,2
652,30,3,4,4,5
653,33,3,5,4,5
654,46,3,4,3,4
655,38,4,2,3,2
656,24,3,4,4,2
657,21,4,4,4,3
658,12,2,3,2,3
659,29,5,4,3,4
660,41,3,4,3,2
661,68,2,2,3,4
662,16,5,5,2,3
663,14,5,5,2,2
664,32,5,5,2,5
665,25,2,5,3,3
666,29,3,3,1,1
667,30,5,3,1,1
668,27,2,4,1,2
669,21,5,5,4,5
670,16,4,3,5,2
671,32,2,3,4,2
672,40,1,3,4,1
673,12,1,4,3,3
674,44,4,4,3,2
675,40,2,4,2,2
676,14,1,2,3,3
677,52,3,3,1,4
678,47,2,3,2,2
679,33,4,4,1,2
680,38,1,1,1,5
681,54,3,2,4,4
682,32,3,4,4,4
683,27,3,4,3,5
684,20,5,5,4,4
685,23,3,4,5,5
686,16,3,4,3,4
687,23,5,4,4,4
688,43,1,4,2,4
689,30,4,3,1,3
690,40,2,4,2,5
691,13,2,3,4,2
692,21,5,5,1,1
693,16,2,3,1,1
694,15,2,4,2,4
695,9,1,4,2,1
696,33,1,4,4,4
697,34,3,1,4,3
698,16,4,3,2,3
699,38,3,3,3,4
700,39,1,5,4,4
701,22,5,5,4,5
702,17,5,5,4,4
703,4,3,3,4,3
704,22,4,2,4,3
705,30,4,5,4,5
706,25,4,5,4,4
707,16,5,4,4,2
708,34,3,3,2,1
709,14,3,4,2,3
710,40,3,4,4,4
711,20,2,1,4,4
712,53,3,5,3,3
713,22,1,3,3,3
714,28,3,4,1,4
715,15,5,5,3,3
716,25,3,4,3,3
717,19,4,5,4,4
718,34,2,3,2,5
719,12,2,2,1,3
720,40,5,5,1,2
721,23,5,4,4,5
722,23,5,5,2,3
723,34,1,4,3,4
724,31,2,2,5,1
725,48,5,5,5,1
726,29,1,5,5,5
727,12,4,5,3,3
728,24,4,4,4,4
729,15,4,5,3,3
730,23,2,4,1,1
731,18,3,4,2,2
732,25,3,4,1,1
733,20,3,4,4,3
